,Date,Power(kW)
0,1/1/2010,10821.119999999999
1,1/2/2010,11896.32
2,1/3/2010,8833.919999999998
3,1/4/2010,8104.32
4,1/5/2010,9584.64
5,1/6/2010,11078.4
6,1/7/2010,10494.719999999998
7,1/8/2010,10663.68
8,1/9/2010,14250.24
9,1/10/2010,14916.48
10,1/11/2010,15319.68
11,1/12/2010,17452.8
12,1/13/2010,15244.8
13,1/14/2010,13887.36
14,1/15/2010,14682.24
15,1/16/2010,14810.88
16,1/17/2010,16218.240000000002
17,1/18/2010,16947.84
18,1/19/2010,16563.84
19,1/20/2010,15611.519999999999
20,1/21/2010,14065.920000000002
21,1/22/2010,12092.160000000002
22,1/23/2010,13860.48
23,1/24/2010,13781.759999999998
24,1/25/2010,15156.48
25,1/26/2010,16268.16
26,1/27/2010,14497.919999999998
27,1/28/2010,12741.119999999999
28,1/29/2010,11024.64
29,1/30/2010,12096.000000000002
30,1/31/2010,13683.84
31,2/1/2010,15743.999999999998
32,2/2/2010,16045.44
33,2/3/2010,13847.04
34,2/4/2010,12620.16
35,2/5/2010,12320.64
36,2/6/2010,13560.96
37,2/7/2010,15204.48
38,2/8/2010,15822.72
39,2/9/2010,15035.52
40,2/10/2010,15089.28
41,2/11/2010,13175.04
42,2/12/2010,12547.2
43,2/13/2010,14977.919999999998
44,2/14/2010,15371.52
45,2/15/2010,16197.119999999999
46,2/16/2010,15657.599999999999
47,2/17/2010,15189.119999999999
48,2/18/2010,12303.359999999999
49,2/19/2010,10377.6
50,2/20/2010,14866.56
51,2/21/2010,15383.04
52,2/22/2010,15832.32
53,2/23/2010,16289.279999999999
54,2/24/2010,15778.560000000001
55,2/25/2010,14519.039999999999
56,2/26/2010,14271.359999999999
57,2/27/2010,15008.64
58,2/28/2010,15985.92
59,3/1/2010,16848.0
60,3/2/2010,18040.32
61,3/3/2010,16560.0
62,3/4/2010,13958.4
63,3/5/2010,14267.52
64,3/6/2010,14140.800000000001
65,3/7/2010,16517.76
66,3/8/2010,17287.68
67,3/9/2010,17894.4
68,3/10/2010,16408.32
69,3/11/2010,15582.720000000001
70,3/12/2010,15861.12
71,3/13/2010,16379.52
72,3/14/2010,17218.559999999998
73,3/15/2010,17808.0
74,3/16/2010,17429.76
75,3/17/2010,16408.32
76,3/18/2010,14219.52
77,3/19/2010,13777.919999999998
78,3/20/2010,15799.68
79,3/21/2010,17314.559999999998
80,3/22/2010,16099.199999999999
81,3/23/2010,15104.639999999998
82,3/24/2010,15912.96
83,3/25/2010,14613.119999999999
84,3/26/2010,14002.56
85,3/27/2010,15569.279999999999
86,3/28/2010,15655.68
87,3/29/2010,18741.120000000003
88,3/30/2010,17429.760000000002
89,3/31/2010,17612.159999999996
90,4/1/2010,14102.399999999998
91,4/2/2010,13858.560000000001
92,4/3/2010,15494.4
93,4/4/2010,17370.239999999998
94,4/5/2010,18635.52
95,4/6/2010,18069.120000000003
96,4/7/2010,18155.519999999997
97,4/8/2010,14933.76
98,4/9/2010,13478.400000000001
99,4/10/2010,15598.08
100,4/11/2010,15242.88
101,4/12/2010,16690.559999999998
102,4/13/2010,16590.72
103,4/14/2010,17105.280000000002
104,4/15/2010,13728.0
105,4/16/2010,14344.32
106,4/17/2010,15747.84
107,4/18/2010,17892.480000000003
108,4/19/2010,16899.839999999997
109,4/20/2010,17433.6
110,4/21/2010,17114.88
111,4/22/2010,14039.04
112,4/23/2010,12979.2
113,4/24/2010,14736.0
114,4/25/2010,16746.239999999998
115,4/26/2010,16319.999999999998
116,4/27/2010,15409.920000000002
117,4/28/2010,15118.08
118,4/29/2010,12725.760000000002
119,4/30/2010,13061.76
120,5/1/2010,14764.800000000001
121,5/2/2010,14906.88
122,5/3/2010,15657.599999999999
123,5/4/2010,16414.08
124,5/5/2010,14952.960000000001
125,5/6/2010,13958.4
126,5/7/2010,11980.8
127,5/8/2010,12810.239999999998
128,5/9/2010,14651.52
